Report Type : StationReport,,,,,,,,,,,,,,,,
Date,Time,Trace SO2,Trace NO,Trace NOy,Trace NOy-NO,WAQA_CO,O3,RTEMP,Wind Spd S,Wind Dir S,Temp Amb,Amb Press,Rain,RH,BAM_PM25,NO2_CAPS
,,ppb,ppb,ppb,ppb,ppm,ppm,DegF,MPH,Deg,DegF,mb,mm,%,ug/m^3,ppb
2/1/07,12:00 AM,,,,,,0.007,67,3.5,,38.8,,,,,
2/2/07,12:00 AM,,,,,,0.002,67,2.7,,36.9,,,,,
2/3/07,12:00 AM,,,,,,0.004,67,4.1,,38.8,,,,,
2/4/07,12:00 AM,,,,,,0.002,74,2.3,,44,,,,,
2/5/07,12:00 AM,,,,,,0.001,77,2,,42.3,,,,,
2/6/07,12:00 AM,,,,,,0.001,78,2.6,,44.3,,,,,
2/7/07,12:00 AM,,,,,,0.001,78,3,,48.2,,,,,
2/8/07,12:00 AM,2.35,,,,,0.008,76,2.8,,47.8,,,,,
2/9/07,12:00 AM,2.17,,,,,0.01,76,4,,49.3,,,,,
2/10/07,12:00 AM,5.07,,,,,0.011,76,3.4,,48.7,,,,,
2/11/07,12:00 AM,2.3,,,,,0.019,76,4.1,,47.2,,,,,
2/12/07,12:00 AM,2.87,,,,,0.01,72,2.8,,47.2,,,,,
2/13/07,12:00 AM,2.35,1.8,3,1.1,,0.01,77,3.4,,46.1,,,,,
2/14/07,12:00 AM,2.27,3.5,5.2,1.6,,0.004,77,3.8,,44.4,,,,,
2/15/07,12:00 AM,1.86,1.3,2.1,0.7,,0.023,79,6.4,,49.2,,,,,
2/16/07,12:00 AM,2.23,3.6,4.5,0.8,,0.015,81,3,,47.7,,,,,
2/17/07,12:00 AM,2.27,,,,,0.021,82,6,,50.5,,,,,
2/18/07,12:00 AM,,0.9,5.7,4.7,,0.034,82,6.6,,42.8,,,,,
2/19/07,12:00 AM,,1.6,9.9,8.3,,0.028,82,8.1,,43.6,,,,,
2/20/07,12:00 AM,,2.3,12.3,9.8,,0.03,82,7.9,,40.2,,,,,
2/21/07,12:00 AM,,3.9,14.7,10.7,,0.027,79,4.4,,42,,,,,
2/22/07,12:00 AM,2.08,6.2,22.2,15.9,,0.021,81,3.7,,40.6,,,,,
2/23/07,12:00 AM,2.02,2.8,16.4,13.5,,0.026,83,5.3,,38.3,,,,,
2/24/07,12:00 AM,1.73,1.1,6.7,5.5,,0.029,82,6,,39.2,,,,,
2/25/07,12:00 AM,1.93,1.8,9.5,7.6,,0.026,83,4.3,,41.8,,,,,
2/26/07,12:00 AM,1.74,2.7,12.4,9.6,,0.029,82,4.9,,39.3,,,,,
2/27/07,12:00 AM,1.89,10.8,30.4,19.5,,0.015,79,3.3,,36.8,,,,,
2/28/07,12:00 AM,1.88,2.7,13.5,10.8,,0.029,80,4.4,,35.8,,,,,
3/1/07,12:00 AM,1.88,2.8,14.3,11.4,,0.029,82,3.4,,35,,,,,
3/2/07,12:00 AM,1.81,7.5,21.9,14.3,,0.021,78,4.9,,37,,,,,
3/3/07,12:00 AM,1.87,8,21.8,13.8,,0.014,81,3.8,,45.9,,,,,
3/4/07,12:00 AM,2.28,14,28.2,14.1,,0.007,82,2.8,,47.2,,,,,
3/5/07,12:00 AM,2.36,19.2,37.1,17.8,,0.012,81,3.4,,51.9,,,,,
3/6/07,12:00 AM,3.32,32.6,54.9,22.2,,0.011,81,3.4,,55.6,,,,,
3/7/07,12:00 AM,1.89,6.4,20.1,13.6,,0.025,80,4.8,,49.2,,,,,
3/8/07,12:00 AM,1.85,4.9,19.7,14.7,,0.023,80,5.8,,44,,,,,
3/9/07,12:00 AM,2.25,14.6,36,21.3,,0.013,80,3.4,,47.4,,,,,
3/10/07,12:00 AM,2.12,6,21,14.9,,0.013,80,3.5,,49.9,,,,,
3/11/07,12:00 AM,1.69,1.9,7.2,5.2,,0.016,80,7.7,,55,,,,,
3/12/07,12:00 AM,1.7,2.5,10.9,8.3,,0.03,80,6.1,,45.8,,,,,
3/13/07,12:00 AM,1.89,6,17.3,11.2,,,80,5.5,,41.7,,,,,
3/14/07,12:00 AM,1.89,5.1,18.2,13,,0.026,79,4.2,,41.1,,,,,
3/15/07,12:00 AM,2.62,33.5,58.2,24.6,,0.006,79,2.4,,40.7,,,,,
3/16/07,12:00 AM,2.21,17.3,35.7,18.3,,0.014,80,4,,54.6,,,,,
3/17/07,12:00 AM,1.9,3.2,11.2,8,,0.016,79,4.8,,49.9,,,,,
3/18/07,12:00 AM,1.94,5.7,13.6,7.8,,0.02,79,3.6,,53.2,,,,,
3/19/07,12:00 AM,1.89,9.4,21.9,12.4,,,79,4.3,,48.7,,,,,
3/20/07,12:00 AM,1.75,2.9,11.7,8.7,,0.031,77,5,,40.3,,,,,
3/21/07,12:00 AM,2.15,11.2,25.5,14.2,,0.023,77,4.3,,41.3,,,,,
3/22/07,12:00 AM,2.03,6.7,20.4,13.6,,0.022,78,5.5,,46.6,,,,,
3/23/07,12:00 AM,2.1,10,25.6,15.5,,0.015,78,5,,49.5,,,,,
3/24/07,12:00 AM,1.64,2.6,9.1,6.3,,0.03,81,5.8,,50.7,,,,,
3/25/07,12:00 AM,3.35,3.3,12.1,8.6,,0.033,81,4,,46.5,,,,,
3/26/07,12:00 AM,4.94,23.6,44.6,21,,0.014,75,4.3,,46.2,,,,,
3/27/07,12:00 AM,1.92,1.7,17.2,15.4,,0.023,75,3.4,,43.3,,,,,
3/28/07,12:00 AM,3.38,12.6,39.7,27,,0.018,72,3.3,,44.4,,,,,
3/29/07,12:00 AM,,41.8,87.6,47.6,,0.005,75,2.4,,49.8,,,,,
3/30/07,12:00 AM,,6.9,30.5,23.7,,0.02,76,3.5,,48.7,,,,,
3/31/07,12:00 AM,,0.9,13.6,13,,0.028,77,4,,44.6,,,,,
4/1/07,12:00 AM,,0.4,6.8,6.9,,0.033,76,4.5,,41,,,,,
4/2/07,12:00 AM,,3.2,15.6,12.1,,0.028,70,3.6,,40.8,,,,,
4/3/07,12:00 AM,1.2,6.4,21.7,15.1,,0.022,68,5.3,,43.8,,,,,
4/4/07,12:00 AM,6.65,29.5,62.1,32.6,,0.012,77,2.7,,50,,,,,
4/5/07,12:00 AM,4.26,45.7,83.5,37.7,,0.006,79,2.7,,56.1,,,,,
4/6/07,12:00 AM,4.35,50,58.3,34.4,,0.013,78,3.3,,61.7,,,,,
4/7/07,12:00 AM,2.96,11.4,32.8,21.2,,0.014,77,3.1,,56,,,,,
4/8/07,12:00 AM,0.33,0.2,6,5.8,,0.036,77,4.6,,50.7,,,,,
4/9/07,12:00 AM,,0.9,6.7,5.8,,0.038,76,8.2,,47,,,,,
4/10/07,12:00 AM,,1.5,11.8,10.6,,0.03,74,4.1,,44.8,,,,,
4/11/07,12:00 AM,0.85,5.9,21.1,15.2,,0.023,75,4.7,,48.6,,,,,
4/12/07,12:00 AM,0.45,1.1,12.2,11,,,,,,,,,,,
4/13/07,12:00 AM,1.1,14.2,37.2,22.9,,,,,,,,,,,
4/14/07,12:00 AM,0.39,0.4,6.3,5.9,,0.037,78,4.2,,48.1,,,,,
4/15/07,12:00 AM,1.03,2.7,15.2,12.4,,0.029,78,2.8,,47.1,,,,,
4/16/07,12:00 AM,0.68,5.1,19.5,14.3,,0.022,78,4.4,,46.9,,,,,
4/17/07,12:00 AM,0.82,3.5,16.9,13.3,,0.032,78,5.1,,46.1,,,,,
4/18/07,12:00 AM,0.77,2.8,15.7,12.9,,0.027,77,3.6,,44.2,,,,,
4/19/07,12:00 AM,1.38,5.9,23.1,17.1,,0.027,77,4.6,,45.9,,,,,
4/20/07,12:00 AM,1.67,12,32.3,20.2,,0.025,77,2.7,,47.9,,,,,
4/21/07,12:00 AM,1.34,4.2,21.1,16.7,,0.02,78,3.6,,48.2,,,,,
4/22/07,12:00 AM,0.69,0.8,10.9,10,,0.03,78,3.3,,52.1,,,,,
4/23/07,12:00 AM,1.35,5.4,20.5,15,,0.023,78,3.1,,53.4,,,,,
4/24/07,12:00 AM,0.45,3.4,15.2,11.8,,0.024,78,3.8,,51.3,,,,,
4/25/07,12:00 AM,0.33,0.7,8.4,7.7,,0.031,78,4.3,,49.6,,,,,
4/26/07,12:00 AM,0.85,2.8,15.6,12.8,,0.026,78,4.5,,51.6,,,,,
4/27/07,12:00 AM,0.7,6.7,22.8,16,,0.019,78,4.4,,54.2,,,,,
4/28/07,12:00 AM,0.43,0.6,7.9,7.2,,0.039,78,6.1,,51.2,,,,,
4/29/07,12:00 AM,0.75,0.6,8.3,7.7,,0.032,78,4.1,,50.1,,,,,
4/30/07,12:00 AM,1.84,3.6,18.2,14.6,,0.03,78,3.9,,49.2,,,,,
5/1/07,12:00 AM,0.9,3.9,22.9,18.9,,0.025,78,2.6,,49.5,,,,,
5/2/07,12:00 AM,0.62,2.5,17.1,14.5,,0.026,77,5.1,,48.5,,,,,
5/3/07,12:00 AM,0.38,1.7,11.3,9.6,,0.031,78,4.5,,47.1,,,,,
5/4/07,12:00 AM,0.87,2.2,14.3,12,,0.03,78,3.5,,47.4,,,,,
5/5/07,12:00 AM,0.46,0.8,8.3,7.4,,0.036,78,3.8,,49.3,,,,,
5/6/07,12:00 AM,0.7,0.9,10.4,9.4,,0.022,78,3.1,,53.2,,,,,
5/7/07,12:00 AM,1.27,7.7,19.3,11.6,,0.016,78,2.8,,60.5,,,,,
5/8/07,12:00 AM,2.36,22.8,35.8,12.9,,0.02,78,4.4,,55.8,,,,,
5/9/07,12:00 AM,,2.3,12.1,9.7,,0.037,79,6.7,,52.6,,,,,
5/10/07,12:00 AM,1.28,3.9,16.5,12.5,,,,,,,,,,,
5/11/07,12:00 AM,0.96,2.8,12.8,10,,0.039,80,5.7,,52,,,,,
5/12/07,12:00 AM,1.46,0.9,7.8,6.9,,0.042,80,4.4,,52.3,,,,,
5/13/07,12:00 AM,0.7,0.5,7.3,6.8,,0.036,80,4,,48.8,,,,,
5/14/07,12:00 AM,0.8,3,16.6,13.7,,0.031,80,5.1,,53.6,,,,,
5/15/07,12:00 AM,,10,29.1,19,,0.032,81,4.6,,63,,,,,
5/16/07,12:00 AM,0.27,0.6,8,7.3,,0.036,81,3.7,,52.5,,,,,
5/17/07,12:00 AM,1.13,3.2,16.1,12.8,,0.035,81,4.1,,53.1,,,,,
5/18/07,12:00 AM,1.8,10.8,25.4,14.6,,0.028,81,4.4,,55.1,,,,,
5/19/07,12:00 AM,0.3,0.3,8.5,8.1,,0.029,81,4.8,,53.2,,,,,
5/20/07,12:00 AM,0.52,0.7,10.6,9.8,,0.029,82,3.8,,48.8,,,,,
5/21/07,12:00 AM,0.32,3.5,17.9,14.4,,0.022,81,2.8,,49.9,,,,,
5/22/07,12:00 AM,1.95,8.4,27.5,19,,0.019,80,2.2,,53.4,,,,,
5/23/07,12:00 AM,1.54,15.4,36.9,21.4,,0.013,77,3.3,,55.6,,,,,
5/24/07,12:00 AM,1.01,3.7,16.4,12.6,,,,,,,,,,,
5/25/07,12:00 AM,1.77,17.9,41.8,23.8,,0.022,77,3.2,,61.6,,,,,
5/26/07,12:00 AM,1.44,3.9,14.9,10.9,,0.021,77,4.8,,57.1,,,,,
5/27/07,12:00 AM,0.22,0.3,4.9,4.6,,0.028,77,3.6,,49.6,,,,,
5/28/07,12:00 AM,0.98,2.1,11.8,9.6,,0.027,77,4.2,,53.5,,,,,
5/29/07,12:00 AM,1.65,5.8,23,17.5,,0.022,77,5.1,,61.6,,,,,
5/30/07,12:00 AM,2.26,13.9,36.1,22.1,,0.033,79,4.7,,69,,,,,
5/31/07,12:00 AM,3.09,18.7,37.6,18.8,,0.023,77,3.9,,65.2,,,,,
6/1/07,12:00 AM,2.14,17,33.1,16,,0.027,79,4.8,,63.8,,,,,
6/2/07,12:00 AM,2.24,4.6,19.2,14.6,,0.032,79,5.1,,65.9,,,,,
6/3/07,12:00 AM,3.13,13.1,29.1,15.9,,0.023,79,3.5,,68.7,,,,,
6/4/07,12:00 AM,0.77,5.3,16.2,10.7,,0.016,78,3.8,,61,,,,,
6/5/07,12:00 AM,0.14,0.9,7.2,6.3,,0.028,79,4,,53.6,,,,,
6/6/07,12:00 AM,0.24,1.3,9.1,7.8,,0.023,78,3.7,,51.6,,,,,
6/7/07,12:00 AM,0.73,5.5,19.6,14.1,,0.017,78,3.5,,53.5,,,,,
6/8/07,12:00 AM,0.81,2.5,14.1,11.6,,0.027,80,3.6,,57.4,,,,,
6/9/07,12:00 AM,0.86,2.4,14,11.5,,0.014,80,2.6,,55.3,,,,,
6/10/07,12:00 AM,0.22,0.3,3.2,2.9,,0.027,80,5.6,,56,,,,,
6/11/07,12:00 AM,1.02,2.2,10.5,8.3,,0.022,79,4,,53.7,,,,,
6/12/07,12:00 AM,1.2,5.5,18.2,12.7,,,,,,,,,,,
6/13/07,12:00 AM,,4.3,13.9,9.9,,0.02,75,5.8,,57.2,,,,,
6/14/07,12:00 AM,,4.4,17,12.7,,0.021,76,4.3,,55.8,,,,,
6/15/07,12:00 AM,1.21,8.1,23.4,15.2,,0.021,76,2.6,,56.3,,,,,
6/16/07,12:00 AM,1.49,2.5,9.8,7.2,,0.024,76,4.8,,56.5,,,,,
6/17/07,12:00 AM,0.28,1.3,6.4,5,,0.018,76,4,,54.1,,,,,
6/18/07,12:00 AM,1.19,5.6,18.3,12.6,,0.017,76,3.7,,53.6,,,,,
6/19/07,12:00 AM,5.63,29.3,58.2,28.8,,0.008,75,2.7,,58.8,,,,,
6/20/07,12:00 AM,3.42,19.5,42.3,22.8,,0.015,77,3.9,,62.4,,,,,
6/21/07,12:00 AM,1.07,2.7,10.9,8.1,,0.022,79,4.8,,62.8,,,,,
6/22/07,12:00 AM,0.34,1.6,7.1,5.5,,0.027,78,4.8,,58.8,,,,,
6/23/07,12:00 AM,0.56,1.6,8,6.4,,0.023,79,4.6,,58.1,,,,,
6/24/07,12:00 AM,0.24,0.5,5,4.5,,0.022,78,4.1,,54,,,,,
6/25/07,12:00 AM,0.49,1.7,11.8,10.1,,0.022,78,4,,56.7,,,,,
6/26/07,12:00 AM,,7.6,28.8,21.1,,0.017,78,5.4,,63.2,,,,,
6/27/07,12:00 AM,3.32,7.4,28.8,21.3,,0.019,78,3.5,,61.9,,,,,
6/28/07,12:00 AM,0.6,6.6,20.2,13.6,,0.015,78,2.9,,62.3,,,,,
6/29/07,12:00 AM,0.34,3.6,12.8,9.2,,0.017,78,4.2,,59.4,,,,,
6/30/07,12:00 AM,1.95,5.3,16.6,11.1,,0.021,78,4.7,,61.1,,,,,
7/1/07,12:00 AM,1.94,8.8,26,17,,0.022,78,3.1,,64.5,,,,,
7/2/07,12:00 AM,0.57,2.6,10.7,8.1,,0.02,78,4.1,,65.7,,,,,
7/3/07,12:00 AM,1.04,10,24.2,14.2,,0.02,80,4.2,,68.9,,,,,
7/4/07,12:00 AM,1.18,3.1,12.9,9.6,,0.027,79,5.3,,68.6,,,,,
7/5/07,12:00 AM,0.78,5.1,13.9,8.6,,0.026,80,6,,67.6,,,,,
7/6/07,12:00 AM,1.03,4.1,12.8,8.6,,0.025,79,5.4,,65.6,,,,,
7/7/07,12:00 AM,3.75,7.8,20.3,12.4,,0.02,78,3.5,,65.7,,,,,
7/8/07,12:00 AM,0.98,1.2,6.9,5.6,,0.022,78,4.7,,63,,,,,
7/9/07,12:00 AM,0.81,2.6,11.4,8.7,,0.024,78,5.4,,67.4,,,,,
7/10/07,12:00 AM,0.89,2.3,12.7,10.4,,0.025,78,6,,76.2,,,,,
7/11/07,12:00 AM,2.37,5.4,26.1,20.7,,0.024,79,5.2,,80.5,,,,,
7/12/07,12:00 AM,3.17,9.2,25.3,16.1,,0.017,78,4.1,,68.1,,,,,
7/13/07,12:00 AM,1.64,8,24,15.9,,0.015,79,3.8,,65.9,,,,,
7/14/07,12:00 AM,4.06,12.1,33.7,21.5,,0.017,79,3.8,,69.9,,,,,
7/15/07,12:00 AM,0.98,1.2,8.2,6.9,,0.016,79,4.7,,70.2,,,,,
7/16/07,12:00 AM,1.56,8.2,23.7,15.5,,0.017,79,3.5,,68.3,,,,,
7/17/07,12:00 AM,5.95,34.2,58.3,24,,0.005,80,3.2,,64.1,,,,,
7/18/07,12:00 AM,1.89,17,33.2,16.2,,0.01,80,3,,62,,,,,
7/19/07,12:00 AM,,4.7,15.2,10.2,,0.013,79,3.4,,65.1,,,,,
7/20/07,12:00 AM,,14.6,29.5,14.5,,0.009,80,2.9,,61.7,,,,,
7/21/07,12:00 AM,,2.5,10.1,7.8,,0.011,80,3.4,,66.2,,,,,
7/22/07,12:00 AM,,5.8,12.8,6.7,,0.007,79,3,,66.7,,,,,
7/23/07,12:00 AM,0.67,4.2,15.9,11.7,,0.016,80,3.4,,64.1,,,,,
7/24/07,12:00 AM,0.81,2.4,10.2,7.7,,0.022,80,5.7,,62.6,,,,,
7/25/07,12:00 AM,1.16,7.6,21.4,14.6,,0.021,80,5.5,,64.5,,,,,
7/26/07,12:00 AM,1.22,10.9,24.7,13.7,,0.014,80,2.6,,62.3,,,,,
7/27/07,12:00 AM,1.48,8.4,24.3,15.9,,0.015,79,3.3,,65.7,,,,,
7/28/07,12:00 AM,2.43,4.2,12.7,8.5,,0.015,78,4,,66.5,,,,,
7/29/07,12:00 AM,0.48,1.2,6.2,4.9,,0.018,79,3.9,,62.8,,,,,
7/30/07,12:00 AM,0.74,3.3,10.4,7.5,,0.021,79,5.5,,62.2,,,,,
7/31/07,12:00 AM,1.09,6.3,17.2,10.8,,0.02,79,5.1,,65.1,,,,,
8/1/07,12:00 AM,1.45,8.1,21.7,13.4,,0.024,79,5.9,,68.8,,,,,
8/2/07,12:00 AM,2.99,13.4,31,17.5,,0.016,79,3.5,,68.4,,,,,
8/3/07,12:00 AM,1.72,6.5,16.6,10,,0.011,78,4.4,,62.3,,,,,
8/4/07,12:00 AM,1.85,4.1,16,11.9,,0.017,79,4.3,,64,,,,,
8/5/07,12:00 AM,3.52,6,18.3,12.2,,0.015,78,4.4,,64,,,,,
8/6/07,12:00 AM,0.32,1.6,7.4,5.7,,0.019,78,4.1,,61.3,,,,,
8/7/07,12:00 AM,0.31,1.3,7.5,6.1,,0.017,78,4.3,,62.1,,,,,
8/8/07,12:00 AM,0.31,2.1,9.7,7.6,,0.018,79,4,,62.5,,,,,
8/9/07,12:00 AM,1.5,4.2,16.2,12,,0.02,78,3.4,,61.2,,,,,
8/10/07,12:00 AM,0.99,4.1,18.1,14,,0.02,79,3.6,,62.7,,,,,
8/11/07,12:00 AM,1.71,6.1,18.4,12.2,,0.019,79,3.5,,61.2,,,,,
8/12/07,12:00 AM,0.54,1.9,9.9,7.9,,0.021,78,3.3,,62.1,,,,,
8/13/07,12:00 AM,0.84,3.9,16.7,12.8,,0.023,80,5.4,,63.8,,,,,
8/14/07,12:00 AM,1.47,7.8,27.7,19.8,,0.023,82,4.8,,67.9,,,,,
8/15/07,12:00 AM,4.65,34.3,70,35.6,,,,,,,,,,,
8/16/07,12:00 AM,0.65,3.2,15.5,12.2,,,,,,,,,,,
8/17/07,12:00 AM,0.61,8.8,23.1,14.2,,0.017,82,4.5,,64.9,,,,,
8/18/07,12:00 AM,0.56,2.5,11.3,8.7,,0.019,80,3.5,,62.4,,,,,
8/19/07,12:00 AM,0.27,1.5,10.2,8.6,,0.016,82,2.9,,58.7,,,,,
8/20/07,12:00 AM,0.59,11.9,24.1,12.1,,0.008,80,2.7,,61.4,,,,,
8/21/07,12:00 AM,0.62,7.7,20.7,13,,0.011,79,3.1,,65,,,,,
8/22/07,12:00 AM,0.83,6,19.8,13.7,,0.02,79,4.4,,64.9,,,,,
8/23/07,12:00 AM,1.5,21.6,38.6,17,,0.015,78,4.2,,66.3,,,,,
8/24/07,12:00 AM,5.08,24.1,43,18.8,,0.015,77,3.7,,65.8,,,,,
8/25/07,12:00 AM,0.42,1,6.9,5.9,,0.019,77,3.4,,62.5,,,,,
8/26/07,12:00 AM,0.9,1.3,6.8,5.4,,0.025,77,4,,60.6,,,,,
8/27/07,12:00 AM,1.07,3.5,14.1,10.5,,0.023,78,4.9,,61.2,,,,,
8/28/07,12:00 AM,1.31,17.9,39.8,21.8,,0.017,75,4,343,64,,,,,
8/29/07,12:00 AM,1.86,13,37.5,24.4,,,77,4.4,1.6,68.6,,,,,
8/30/07,12:00 AM,3.56,41.3,71.3,29.9,,,93,3.6,330.4,67.9,,,,,
8/31/07,12:00 AM,0.84,2.7,14,11.2,,,81,3.7,39.1,61.7,,,,,
9/1/07,12:00 AM,2.2,5.8,17.9,12,,,95,4.6,1.2,63.1,,,,,
9/2/07,12:00 AM,1.61,9.3,23.1,13.7,,,97,3.6,196,65.8,,,,,
9/3/07,12:00 AM,1.76,7.4,20,14.2,,,102,2.9,187.5,67.1,,,,,
9/4/07,12:00 AM,3.21,28,51.6,23.4,,,89,3.3,295.2,61.5,,,,,
9/5/07,12:00 AM,0.86,5.7,18.5,12.7,,0.016,81,3.9,356.8,64.2,,,,,
9/6/07,12:00 AM,0.83,5.6,20.9,15.2,,0.017,78,4.1,349,62.4,,,,,
9/7/07,12:00 AM,2.26,11.3,26.9,15.5,,0.017,78,4.5,347.7,60.1,,,,,
9/8/07,12:00 AM,0.84,3,14.5,11.4,,0.018,77,5.1,13.3,61.1,,,,,
9/9/07,12:00 AM,1.05,2.5,13.9,11.2,,0.021,78,5.2,15.3,65,,,,,
9/10/07,12:00 AM,3.76,15.6,41.8,26.1,,0.013,78,4.6,1.7,68.5,,,,,
9/11/07,12:00 AM,6.85,28.3,66,37.6,,0.011,78,3,283.8,67.6,,,,,
9/12/07,12:00 AM,0.66,13.3,37.2,23.8,,0.015,78,2.7,252.8,60.4,,,,,
9/13/07,12:00 AM,3.54,31.4,54.3,22.8,,0.002,77,3.4,280.2,59.9,,,,,
9/14/07,12:00 AM,4.88,12.5,25.6,13,,0.015,76,2.8,213.9,60.6,,,,,
9/15/07,12:00 AM,4.36,10.5,32,21.4,,0.013,75,3,276.8,59.6,,,,,
9/16/07,12:00 AM,0.34,1.9,11.7,9.7,,0.02,74,2.8,186.1,57.2,,,,,
9/17/07,12:00 AM,3.85,15.3,36.1,20.7,,0.007,74,3.5,295.9,55.9,,,,,
9/18/07,12:00 AM,0.66,10.2,22,11.7,,0.017,74,3.5,169.5,54.8,,,,,
9/19/07,12:00 AM,0.62,5,17.5,12.4,,0.014,73,4.6,18.9,54.6,,,,,
9/20/07,12:00 AM,0.96,17,34.3,17.2,,0.004,77,3.3,151.1,54.1,,,,,
9/21/07,12:00 AM,0.8,23.8,40,16.1,,0.012,78,3.2,213.3,57.4,,,,,
9/22/07,12:00 AM,0.54,0.6,6.6,5.9,,0.026,78,4,70.4,55.1,,,,,
9/23/07,12:00 AM,2.07,10.5,25.9,15.3,,0.011,78,2.4,240.5,53.8,,,,,
9/24/07,12:00 AM,2.09,17.2,37.9,20.7,,0.007,78,2.8,185,54.6,,,,,
9/25/07,12:00 AM,3.08,35.5,60.4,24.8,,0.003,78,2,150,52.6,,,,,
9/26/07,12:00 AM,1.47,,,,,0.008,79,3.8,344.1,54.5,,,,,
9/27/07,12:00 AM,2.36,40.1,62,21.8,,0.011,79,2.9,230.6,55.4,,,,,
9/28/07,12:00 AM,0.5,4.3,14.6,10.3,,0.021,79,3.6,117.8,51.3,,,,,
9/29/07,12:00 AM,0.77,1.1,9.1,7.8,,0.02,79,4.3,161.7,51.3,,,,,
9/30/07,12:00 AM,0.25,0.9,7.1,6.1,,0.019,79,4.7,146.3,51.5,,,,,
10/1/07,12:00 AM,0.44,1.5,10.6,9,,0.022,79,5.1,189,54.4,,,,,
10/2/07,12:00 AM,0.27,2.6,11.5,8.8,,0.023,79,5.9,172.7,52.6,,,,,
10/3/07,12:00 AM,0.45,2.6,15.4,13.1,,0.02,79,4.5,181.7,49.2,,,,,
10/4/07,12:00 AM,0.82,4.8,20.1,15.1,,0.017,78,3.6,178.8,49.1,,,,,
10/5/07,12:00 AM,1.67,9.2,25.3,16,,0.011,79,3.7,28.4,48.7,,,,,
10/6/07,12:00 AM,0.65,1.9,14.7,12.6,,0.015,78,3.9,169.9,50,,,,,
10/7/07,12:00 AM,0.43,0.7,6.6,5.8,,0.02,79,4.5,155,55.8,,,,,
10/8/07,12:00 AM,1.45,12.3,29.8,17.4,,0.012,79,3.4,15.2,50.8,,,,,
10/9/07,12:00 AM,3.77,62.2,88.5,26.2,,0.003,79,2.8,226.7,56.3,,,,,
10/10/07,12:00 AM,0.75,14.9,35.7,20.7,,0.013,79,3.7,184.4,54.9,,,,,
10/11/07,12:00 AM,1.37,12,31.2,19.1,,0.01,78,3.8,31.2,51.6,,,,,
10/12/07,12:00 AM,1.86,16.3,38.2,21.8,,0.007,79,3.4,356.3,52.5,,,,,
10/13/07,12:00 AM,2.18,37.8,61.8,23.9,,0.005,79,2.2,25.7,51.8,,,,,
10/14/07,12:00 AM,1.76,34.6,56.1,21.3,,0.008,79,2.7,180.2,55,,,,,
10/15/07,12:00 AM,0.94,24.2,46.1,21.9,,0.006,80,3.1,164.8,53,,,,,
10/16/07,12:00 AM,0.65,4.1,20.1,15.9,,0.018,79,4.5,149.2,49.6,,,,,
10/17/07,12:00 AM,0.64,3.9,20.3,16.7,,0.017,78,4.3,163.1,47.6,,,,,
10/18/07,12:00 AM,0.79,11.5,25.1,13.5,,0.02,78,4.7,167.4,51,,,,,
10/19/07,12:00 AM,0.39,1.3,12.6,11.3,,0.027,79,6.1,171.7,48.7,,,,,
10/20/07,12:00 AM,0.55,0.7,10.9,10.1,,0.024,78,4,173.8,47.4,,,,,
10/21/07,12:00 AM,0.72,1,10.5,9.4,,0.022,79,4,175.8,50.8,,,,,
10/22/07,12:00 AM,0.98,10.6,27.4,16.7,,0.018,78,4.1,174.7,57.2,,,,,
10/23/07,12:00 AM,5.83,78.1,107.4,29.2,,0.004,78,2.8,190,60.7,,,,,
10/24/07,12:00 AM,0.34,2.5,16.3,13.8,,0.018,81,3.7,140.9,50.9,,,,,
10/25/07,12:00 AM,0.8,20.9,38.9,17.9,,0.016,81,3.5,34.8,45.7,,,,,
10/26/07,12:00 AM,0.76,8.5,23.9,15.4,,0.008,80,4.9,25.3,44.5,,,,,
10/27/07,12:00 AM,3.31,21.3,41.5,20,,0.004,78,2.7,14,45.6,,,,,
10/28/07,12:00 AM,1.59,24,42.7,18.6,,0.011,77,2.7,161.4,49.1,,,,,
10/29/07,12:00 AM,1.41,11,31.4,20.3,,0.013,77,4.1,103.3,48.4,,,,,
10/30/07,12:00 AM,0.78,12.8,30.4,17.8,,0.01,77,2.8,47.4,45.1,,,,,
10/31/07,12:00 AM,1.63,49,71.9,22.7,,0.002,77,2.1,182.7,43,,,,,
11/1/07,12:00 AM,2.2,30.8,55.5,24.6,,0.008,77,2.7,21.7,45.3,,,,,
11/2/07,12:00 AM,1.57,34.9,59,23.9,,0.003,77,2.4,112,42.6,,,,,
11/3/07,12:00 AM,1,1.8,13.1,11.5,,0.02,76,4.5,167.1,53,,,,,
11/4/07,12:00 AM,0.77,3.1,17.7,14.4,,0.02,77,3.5,3.3,50.5,,,,,
11/5/07,12:00 AM,1.21,16.5,34.8,18.2,,0.006,76,3.6,16.8,45.6,,,,,
11/6/07,12:00 AM,3.52,69.5,93.2,23.5,,0.002,76,2,8.6,46.2,,,,,
11/7/07,12:00 AM,5.02,122.2,148.6,26.3,,0.002,76,2.2,14,50.4,,,,,
11/8/07,12:00 AM,4.13,70.9,95.2,24.2,,0.002,77,2.7,204.6,52.9,,,,,
11/9/07,12:00 AM,0.7,7.8,25.5,17.6,,0.014,77,4.5,178.3,52.5,,,,,
11/10/07,12:00 AM,0.48,2.9,12.9,9.9,,0.022,77,4.4,172.4,49.7,,,,,
